,,,,Other Race,1.04%,0.81%,13742
,,,,White,0.98%,0.71%,13512
,,,,American Indian or Alaska Native,-,-,1039
,,,,None of the above,-,-,2807
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",0.91%,0.70%,27767
,,,None of the above,Black or African American,1.42%,1.12%,3031
,,,,Native Hawaiian or Other Pacific Islander,-,-,132
,,,,Asian,-,-,678
,,,,Other Race,1.68%,1.42%,4522
,,,,White,1.32%,0.96%,6963
,,,,American Indian or Alaska Native,-,-,221
,,,,None of the above,0.46%,0.34%,21376
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",0.75%,0.57%,32863
,,,Total,Black or African American,1.44%,1.16%,26687
,,,,Native Hawaiian or Other Pacific Islander,-,-,770
,,,,Asian,0.88%,0.70%,7379
,,,,Other Race,1.46%,1.19%,25266
,,,,White,1.14%,0.88%,80891
,,,,American Indian or Alaska Native,0.87%,0.64%,1725
,,,,None of the above,0.44%,0.31%,26392
,,,,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",1.01%,0.79%,147889
,,"Total: Total includes all data under the Less than 18 Years bucket, including data from rows not currently displayed.",Not Hispanic or Latino,Black or African American,1.28%,1.04%,39080
,,,,Native Hawaiian or Other Pacific Islander,-,-,449
,,,,Asian,0.79%,0.59%,13379
,,,,Other Race,2.04%,1.78%,14308
,,,,White,1.08%,0.88%,122929
,,,,American Indian or Alaska Native,-,-,900
,,,,None of the above,0.39%,0.33%,4858
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",1.06%,0.86%,178567
,,,Hispanic or Latino,Black or African American,1.15%,0.84%,8675
,,,,Native Hawaiian or Other Pacific Islander,-,-,802
,,,,Asian,-,-,317
,,,,Other Race,1.08%,0.83%,27559
,,,,White,0.93%,0.69%,27558
,,,,American Indian or Alaska Native,0.81%,0.71%,2101
,,,,None of the above,0.35%,0.24%,5955
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",0.89%,0.68%,56630
,,,None of the above,Black or African American,1.10%,0.86%,5923
,,,,Native Hawaiian or Other Pacific Islander,-,-,231
,,,,Asian,-,-,1296
,,,,Other Race,1.34%,1.10%,8980
,,,,White,1.11%,0.85%,13921
,,,,American Indian or Alaska Native,-,-,432
,,,,None of the above,0.45%,0.35%,43213
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",0.65%,0.51%,66229
,,,Total,Black or African American,1.24%,0.99%,53678
,,,,Native Hawaiian or Other Pacific Islander,0.81%,-,1482
,,,,Asian,0.76%,0.58%,14992
,,,,Other Race,1.39%,1.14%,50847
,,,,White,1.06%,0.85%,164408
,,,,American Indian or Alaska Native,0.90%,0.79%,3433
,,,,None of the above,0.43%,0.33%,54026
,,,,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",0.94%,0.75%,301426
,≥ 18 and < 35 Years,Male,Not Hispanic or Latino,Black or African American,5.25%,4.48%,16143
,,,,Native Hawaiian or Other Pacific Islander,5.12%,3.75%,293
,,,,Asian,4.09%,3.39%,6555
,,,,Other Race,5.35%,4.53%,8225
,,,,White,3.25%,2.55%,76501
,,,,American Indian or Alaska Native,5.32%,4.68%,620
,,,,None of the above,2.49%,2.15%,1769
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",3.56%,2.84%,99839
,,,Hispanic or Latino,Black or African American,5.30%,4.51%,3678
,,,,Native Hawaiian or Other Pacific Islander,4.85%,4.16%,433
,,,,Asian,-,-,136
,,,,Other Race,5.97%,4.65%,11864
,,,,White,4.73%,3.69%,12493
,,,,American Indian or Alaska Native,7.35%,6.02%,1047
,,,,None of the above,3.10%,2.61%,2455
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",4.82%,3.79%,23438
,,,None of the above,Black or African American,5.74%,4.71%,2527
,,,,Native Hawaiian or Other Pacific Islander,-,-,144
,,,,Asian,3.63%,3.80%,606
,,,,Other Race,5.45%,4.36%,3668
,,,,White,4.22%,3.32%,7294
,,,,American Indian or Alaska Native,7.98%,6.30%,238
,,,,None of the above,3.29%,2.46%,14316
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",3.76%,2.90%,25090
,,,Total,Black or African American,5.32%,4.51%,22348
,,,,Native Hawaiian or Other Pacific Islander,5.29%,4.14%,870
,,,,Asian,4.07%,3.40%,7297
,,,,Other Race,5.67%,4.57%,23757
,,,,White,3.51%,2.75%,96288
,,,,American Indian or Alaska Native,6.77%,5.62%,1905
,,,,None of the above,3.19%,2.45%,18540
,,,,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",3.79%,3.00%,148367
,,Female,Not Hispanic or Latino,Black or African American,5.02%,4.18%,25549
,,,,Native Hawaiian or Other Pacific Islander,4.39%,3.63%,524
,,,,Asian,3.36%,2.47%,11643
,,,,Other Race,4.31%,3.20%,13537
,,,,White,2.62%,1.71%,111691
,,,,American Indian or Alaska Native,5.39%,3.27%,947
,,,,None of the above,1.97%,1.28%,2180
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",3.04%,2.14%,147958
,,,Hispanic or Latino,Black or African American,4.65%,3.53%,6172
,,,,Native Hawaiian or Other Pacific Islander,5.43%,4.11%,608
,,,,Asian,-,-,214
,,,,Other Race,5.36%,3.91%,19717
,,,,White,4.43%,3.20%,18298
,,,,American Indian or Alaska Native,3.78%,3.07%,1823
,,,,None of the above,3.20%,2.39%,2723
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",4.57%,3.35%,34364
,,,None of the above,Black or African American,4.93%,3.72%,4405
,,,,Native Hawaiian or Other Pacific Islander,-,-,245
,,,,Asian,3.59%,3.21%,1058
,,,,Other Race,4.94%,3.44%,6603
,,,,White,3.89%,2.56%,11710
,,,,American Indian or Alaska Native,7.21%,5.68%,458
,,,,None of the above,2.49%,1.61%,20625
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",3.16%,2.12%,37807
,,,Total,Black or African American,4.95%,4.01%,36126
,,,,Native Hawaiian or Other Pacific Islander,4.79%,3.78%,1377
,,,,Asian,3.40%,2.55%,12915
,,,,Other Race,4.93%,3.59%,39857
,,,,White,2.96%,1.97%,141699
,,,,American Indian or Alaska Native,4.74%,3.50%,3228
,,,,None of the above,2.52%,1.66%,25528
,,,,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",3.30%,2.32%,220129
,,"Total: Total includes all data under the ≥ 18 and &lt; 35 Years bucket, including data from rows not currently displayed.",Not Hispanic or Latino,Black or African American,5.11%,4.30%,41724
,,,,Native Hawaiian or Other Pacific Islander,4.65%,3.67%,817
,,,,Asian,3.62%,2.79%,18212
,,,,Other Race,4.70%,3.71%,21790
,,,,White,2.88%,2.05%,188355
,,,,American Indian or Alaska Native,5.35%,3.82%,1571
,,,,None of the above,2.20%,1.67%,3952
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",3.25%,2.42%,248007
,,,Hispanic or Latino,Black or African American,4.91%,3.90%,9854
,,,,Native Hawaiian or Other Pacific Islander,5.19%,4.13%,1041
,,,,Asian,4.86%,3.14%,350
,,,,Other Race,5.59%,4.19%,31588
,,,,White,4.55%,3.40%,30799
,,,,American Indian or Alaska Native,5.09%,4.14%,2871
,,,,None of the above,3.15%,2.49%,5179
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",4.67%,3.53%,57815
,,,None of the above,Black or African American,5.22%,4.08%,6939
,,,,Native Hawaiian or Other Pacific Islander,5.14%,3.86%,389
,,,,Asian,3.61%,3.43%,1664
,,,,Other Race,5.12%,3.76%,10281
,,,,White,4.02%,2.85%,19019
,,,,American Indian or Alaska Native,7.47%,5.89%,696
,,,,None of the above,2.82%,1.96%,34952
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",3.40%,2.43%,62930
,,,Total,Black or African American,5.09%,4.21%,58517
,,,,Native Hawaiian or Other Pacific Islander,4.98%,3.92%,2247
,,,,Asian,3.64%,2.85%,20226
,,,,Other Race,5.21%,3.96%,63659
,,,,White,3.18%,2.29%,238173
,,,,American Indian or Alaska Native,5.49%,4.28%,5138
,,,,None of the above,2.80%,1.99%,44083
,,,,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",3.50%,2.60%,368752
,≥ 35 and < 45 Years,Male,Not Hispanic or Latino,Black or African American,16.54%,14.50%,9589
,,,,Native Hawaiian or Other Pacific Islander,15.10%,13.54%,192
,,,,Asian,15.15%,13.02%,4785
,,,,Other Race,13.41%,11.83%,5526
,,,,White,9.54%,7.39%,48190
,,,,American Indian or Alaska Native,17.11%,14.43%,409
,,,,None of the above,8.84%,7.59%,1120
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",10.87%,8.76%,63270
,,,Hispanic or Latino,Black or African American,16.80%,14.99%,2202
,,,,Native Hawaiian or Other Pacific Islander,20.21%,17.81%,292
,,,,Asian,16.67%,14.71%,102
,,,,Other Race,18.01%,15.24%,8379
,,,,White,15.10%,12.67%,8105
,,,,American Indian or Alaska Native,16.38%,14.04%,769
,,,,None of the above,11.16%,9.43%,1389
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",15.39%,12.87%,15177
,,,None of the above,Black or African American,16.79%,14.99%,1334
,,,,Native Hawaiian or Other Pacific Islander,20.00%,-,65
,,,,Asian,13.98%,14.25%,379
,,,,Other Race,13.99%,12.33%,2473
,,,,White,12.34%,10.01%,4847
,,,,American Indian or Alaska Native,17.24%,11.72%,145
,,,,None of the above,10.07%,7.47%,9684
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",11.17%,8.87%,16737
,,,Total,Black or African American,16.61%,14.63%,13125
,,,,Native Hawaiian or Other Pacific Islander,18.40%,16.03%,549
,,,,Asian,15.10%,13.14%,5266
,,,,Other Race,15.85%,13.65%,16378
,,,,White,10.50%,8.29%,61142
,,,,American Indian or Alaska Native,16.70%,13.91%,1323
,,,,None of the above,10.08%,7.70%,12193
,,,,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",11.64%,9.44%,95184
,,Female,Not Hispanic or Latino,Black or African American,14.03%,11.66%,13974
,,,,Native Hawaiian or Other Pacific Islander,7.34%,6.64%,286
,,,,Asian,8.06%,6.25%,7681
,,,,Other Race,9.00%,6.75%,7835
,,,,White,6.50%,4.32%,66367
,,,,American Indian or Alaska Native,13.15%,8.47%,555
,,,,None of the above,5.75%,3.96%,1288
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",7.76%,5.57%,88287
,,,Hispanic or Latino,Black or African American,13.51%,11.13%,3531
,,,,Native Hawaiian or Other Pacific Islander,15.29%,12.38%,412
,,,,Asian,12.08%,11.41%,149
,,,,Other Race,14.61%,10.94%,12494
,,,,White,12.85%,9.81%,11039
,,,,American Indian or Alaska Native,11.09%,8.07%,1190
,,,,None of the above,7.65%,6.48%,1465
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",12.81%,9.68%,20844
,,,None of the above,Black or African American,13.11%,10.78%,1892
,,,,Native Hawaiian or Other Pacific Islander,11.93%,-,109
,,,,Asian,13.01%,11.04%,607
,,,,Other Race,10.70%,7.81%,3561
,,,,White,9.37%,6.36%,6667
,,,,American Indian or Alaska Native,15.25%,11.02%,236
,,,,None of the above,6.17%,4.25%,13353
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",7.67%,5.45%,22934
,,,Total,Black or African American,13.85%,11.48%,19397
,,,,Native Hawaiian or Other Pacific Islander,12.02%,9.79%,807
,,,,Asian,8.49%,6.68%,8437
,,,,Other Race,12.19%,9.10%,23890
,,,,White,7.56%,5.20%,84073
,,,,American Indian or Alaska Native,12.17%,8.53%,1981
,,,,None of the above,6.27%,4.43%,16106
,,,,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",8.54%,6.20%,132065
,,"Total: Total includes all data under the ≥ 35 and &lt; 45 Years bucket, including data from rows not currently displayed.",Not Hispanic or Latino,Black or African American,15.05%,12.81%,23569
,,,,Native Hawaiian or Other Pacific Islander,10.46%,9.41%,478
,,,,Asian,10.78%,8.85%,12470
,,,,Other Race,10.83%,8.85%,13367
,,,,White,7.78%,5.61%,114594
,,,,American Indian or Alaska Native,14.83%,11.00%,964
,,,,None of the above,7.18%,5.65%,2409
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",9.05%,6.90%,151603
,,,Hispanic or Latino,Black or African American,14.77%,12.62%,5736
,,,,Native Hawaiian or Other Pacific Islander,17.33%,14.63%,704
,,,,Asian,13.94%,12.75%,251
,,,,Other Race,15.97%,12.67%,20874
,,,,White,13.80%,11.02%,19145
,,,,American Indian or Alaska Native,13.16%,10.40%,1961
,,,,None of the above,9.35%,7.92%,2855
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",13.90%,11.03%,36026
,,,None of the above,Black or African American,14.62%,12.52%,3228
,,,,Native Hawaiian or Other Pacific Islander,14.94%,10.92%,174
,,,,Asian,13.39%,12.27%,986
,,,,Other Race,12.04%,9.66%,6036
,,,,White,10.62%,7.89%,11521
,,,,American Indian or Alaska Native,16.01%,11.29%,381
,,,,None of the above,7.81%,5.60%,23041
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",9.14%,6.89%,39684
,,,Total,Black or African American,14.96%,12.75%,32533
,,,,Native Hawaiian or Other Pacific Islander,14.60%,12.32%,1356
,,,,Asian,11.02%,9.16%,13707
,,,,Other Race,13.68%,10.95%,40277
,,,,White,8.80%,6.50%,145260
,,,,American Indian or Alaska Native,13.97%,10.68%,3306
,,,,None of the above,7.91%,5.84%,28305
,,,,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",9.84%,7.55%,227313
,≥ 45 and < 55 Years,Male,Not Hispanic or Latino,Black or African American,31.54%,27.66%,10927
,,,,Native Hawaiian or Other Pacific Islander,27.93%,22.91%,179
,,,,Asian,27.02%,23.24%,4926
,,,,Other Race,23.90%,20.67%,5887
,,,,White,18.02%,14.02%,68867
,,,,American Indian or Alaska Native,27.69%,23.74%,455
,,,,None of the above,18.56%,17.13%,975
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",20.14%,16.22%,85114
,,,Hispanic or Latino,Black or African American,29.68%,26.90%,2335
,,,,Native Hawaiian or Other Pacific Islander,30.25%,25.27%,281
,,,,Asian,27.68%,25.89%,112
,,,,Other Race,31.95%,26.88%,7852
,,,,White,27.77%,23.51%,7304
,,,,American Indian or Alaska Native,25.03%,20.19%,743
,,,,None of the above,19.50%,15.80%,1082
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",27.90%,23.48%,13698
,,,None of the above,Black or African American,30.45%,27.02%,1284
,,,,Native Hawaiian or Other Pacific Islander,29.63%,27.16%,81
,,,,Asian,29.90%,28.89%,398
,,,,Other Race,27.45%,24.23%,2171
,,,,White,21.29%,17.74%,5317
,,,,American Indian or Alaska Native,30.53%,26.72%,131
,,,,None of the above,17.28%,12.41%,10869
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",19.67%,15.39%,18224
,,,Total,Black or African American,31.14%,27.48%,14546
,,,,Native Hawaiian or Other Pacific Islander,29.39%,24.77%,541
,,,,Asian,27.24%,23.71%,5436
,,,,Other Race,28.36%,24.22%,15910
,,,,White,19.11%,15.11%,81488
,,,,American Indian or Alaska Native,26.49%,22.05%,1329
,,,,None of the above,17.56%,13.05%,12926
,,,,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",20.97%,16.94%,117036
,,Female,Not Hispanic or Latino,Black or African American,27.87%,24.06%,13673
,,,,Native Hawaiian or Other Pacific Islander,26.75%,22.81%,228
,,,,Asian,16.29%,13.63%,6998
,,,,Other Race,18.03%,14.22%,7575
,,,,White,11.42%,7.92%,91145
,,,,American Indian or Alaska Native,22.82%,16.40%,561
,,,,None of the above,12.52%,9.72%,1142
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",13.64%,10.16%,112081
,,,Hispanic or Latino,Black or African American,26.14%,20.98%,3436
,,,,Native Hawaiian or Other Pacific Islander,26.63%,19.57%,368
,,,,Asian,20.95%,22.97%,148
,,,,Other Race,26.40%,20.43%,10556
,,,,White,22.31%,17.41%,9829
,,,,American Indian or Alaska Native,22.16%,17.28%,1065
,,,,None of the above,16.96%,13.67%,1156
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",23.50%,18.15%,17907
,,,None of the above,Black or African American,27.29%,22.82%,1678
,,,,Native Hawaiian or Other Pacific Islander,27.19%,21.93%,114
,,,,Asian,21.86%,21.05%,494
,,,,Other Race,20.17%,15.85%,3029
,,,,White,15.10%,11.05%,6902
,,,,American Indian or Alaska Native,24.26%,20.79%,202
,,,,None of the above,11.13%,7.80%,14327
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",13.67%,10.12%,23773
,,,Total,Black or African American,27.50%,23.39%,18787
,,,,Native Hawaiian or Other Pacific Islander,26.76%,20.99%,710
,,,,Asian,16.74%,14.29%,7640
,,,,Other Race,22.51%,17.55%,21160
,,,,White,12.65%,8.99%,107876
,,,,American Indian or Alaska Native,22.59%,17.40%,1828
,,,,None of the above,11.63%,8.34%,16625
,,,,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",14.79%,11.09%,153761
,,"Total: Total includes all data under the ≥ 45 and &lt; 55 Years bucket, including data from rows not currently displayed.",Not Hispanic or Latino,Black or African American,29.49%,25.65%,24605
,,,,Native Hawaiian or Other Pacific Islander,27.27%,22.85%,407
,,,,Asian,20.72%,17.61%,11928
,,,,Other Race,20.59%,17.03%,13469
,,,,White,14.26%,10.55%,160045
,,,,American Indian or Alaska Native,25.00%,19.69%,1016
,,,,None of the above,15.34%,13.13%,2118
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",16.45%,12.77%,197238
,,,Hispanic or Latino,Black or African American,27.56%,23.37%,5773
,,,,Native Hawaiian or Other Pacific Islander,28.20%,22.03%,649
,,,,Asian,23.85%,24.23%,260
,,,,Other Race,28.77%,23.18%,18410
,,,,White,24.63%,20.01%,17135
,,,,American Indian or Alaska Native,23.34%,18.47%,1808
,,,,None of the above,18.18%,14.69%,2239
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",25.40%,20.46%,31609
,,,None of the above,Black or African American,28.66%,24.65%,2962
,,,,Native Hawaiian or Other Pacific Islander,28.21%,24.10%,195
,,,,Asian,25.45%,24.55%,892
,,,,Other Race,23.21%,19.35%,5200
,,,,White,17.79%,13.96%,12219
,,,,American Indian or Alaska Native,26.73%,23.12%,333
,,,,None of the above,13.78%,9.79%,25197
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",16.27%,12.41%,41998
,,,Total,Black or African American,29.08%,25.17%,33340
,,,,Native Hawaiian or Other Pacific Islander,27.90%,22.62%,1251
,,,,Asian,21.11%,18.21%,13080
,,,,Other Race,25.02%,20.41%,37079
,,,,White,15.43%,11.62%,189399
,,,,American Indian or Alaska Native,24.23%,19.35%,3157
,,,,None of the above,14.22%,10.40%,29554
,,,,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",17.46%,13.61%,270845
,≥ 55 and < 65 Years,Male,Not Hispanic or Latino,Black or African American,41.66%,36.08%,10393
,,,,Native Hawaiian or Other Pacific Islander,38.96%,32.47%,154
,,,,Asian,39.07%,34.45%,3896
,,,,Other Race,32.08%,27.42%,6087
,,,,White,24.53%,18.85%,88295
,,,,American Indian or Alaska Native,34.05%,28.88%,464
,,,,None of the above,23.23%,17.96%,874
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",26.59%,20.98%,102994
,,,Hispanic or Latino,Black or African American,43.32%,37.54%,1870
,,,,Native Hawaiian or Other Pacific Islander,45.22%,35.65%,230
,,,,Asian,51.11%,53.33%,90
,,,,Other Race,43.69%,36.06%,5590
,,,,White,38.13%,31.52%,5381
,,,,American Indian or Alaska Native,33.14%,29.39%,507
,,,,None of the above,29.80%,23.76%,745
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",39.04%,32.23%,10046
,,,None of the above,Black or African American,41.82%,38.37%,1045
,,,,Native Hawaiian or Other Pacific Islander,47.62%,42.86%,63
,,,,Asian,45.48%,44.52%,310
,,,,Other Race,38.52%,33.31%,1594
,,,,White,28.74%,23.12%,5533
,,,,American Indian or Alaska Native,38.94%,32.74%,113
,,,,None of the above,22.97%,16.78%,10471
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",26.20%,20.44%,17565
,,,Total,Black or African American,41.91%,36.47%,13308
,,,,Native Hawaiian or Other Pacific Islander,43.40%,35.57%,447
,,,,Asian,39.78%,35.57%,4296
,,,,Other Race,37.74%,31.77%,13271
,,,,White,25.50%,19.78%,99209
,,,,American Indian or Alaska Native,34.13%,29.52%,1084
,,,,None of the above,23.41%,17.30%,12090
,,,,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",27.50%,21.77%,130605
,,Female,Not Hispanic or Latino,Black or African American,40.23%,34.57%,12773
,,,,Native Hawaiian or Other Pacific Islander,33.85%,28.72%,195
,,,,Asian,29.33%,24.69%,5127
,,,,Other Race,24.84%,19.85%,7379
,,,,White,16.00%,11.28%,107232
,,,,American Indian or Alaska Native,29.38%,21.60%,514
,,,,None of the above,18.55%,14.68%,1008
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",18.86%,14.08%,125349
,,,Hispanic or Latino,Black or African American,38.91%,31.92%,2704
,,,,Native Hawaiian or Other Pacific Islander,39.88%,31.72%,331
,,,,Asian,32.11%,27.52%,109
,,,,Other Race,40.53%,31.72%,7520
,,,,White,34.84%,27.26%,7106
,,,,American Indian or Alaska Native,35.49%,28.52%,603
,,,,None of the above,28.64%,23.35%,831
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",36.33%,28.37%,13081
,,,None of the above,Black or African American,39.68%,35.05%,1361
,,,,Native Hawaiian or Other Pacific Islander,37.21%,26.74%,86
,,,,Asian,30.05%,29.06%,406
,,,,Other Race,31.07%,24.88%,2034
,,,,White,22.27%,16.42%,6454
,,,,American Indian or Alaska Native,33.76%,22.29%,157
,,,,None of the above,15.81%,10.85%,13140
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",19.43%,14.34%,21630
,,,Total,Black or African American,39.98%,34.18%,16838
,,,,Native Hawaiian or Other Pacific Islander,37.58%,30.07%,612
,,,,Asian,29.44%,25.06%,5642
,,,,Other Race,32.56%,25.72%,16933
,,,,White,17.45%,12.50%,120792
,,,,American Indian or Alaska Native,32.81%,24.96%,1274
,,,,None of the above,16.71%,11.80%,14979
,,,,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",20.36%,15.28%,160060
,,"Total: Total includes all data under the ≥ 55 and &lt; 65 Years bucket, including data from rows not currently displayed.",Not Hispanic or Latino,Black or African American,40.87%,35.25%,23166
,,,,Native Hawaiian or Other Pacific Islander,36.10%,30.37%,349
,,,,Asian,33.54%,28.90%,9023
,,,,Other Race,28.11%,23.27%,13469
,,,,White,19.85%,14.70%,195565
,,,,American Indian or Alaska Native,31.60%,25.05%,978
,,,,None of the above,20.75%,16.24%,1884
,,,,"Total: Total includes all data under the Not Hispanic or Latino bucket, including data from rows not currently displayed.",22.35%,17.19%,228384
,,,Hispanic or Latino,Black or African American,40.71%,34.22%,4574
,,,,Native Hawaiian or Other Pacific Islander,42.07%,33.33%,561
,,,,Asian,40.70%,39.20%,199
,,,,Other Race,41.88%,33.57%,13110
,,,,White,36.26%,29.09%,12488
,,,,American Indian or Alaska Native,34.41%,28.92%,1110
,,,,None of the above,29.19%,23.54%,1576
,,,,"Total: Total includes all data under the Hispanic or Latino bucket, including data from rows not currently displayed.",37.50%,30.05%,23128
,,,None of the above,Black or African American,40.61%,36.49%,2406
,,,,Native Hawaiian or Other Pacific Islander,41.61%,33.56%,149
,,,,Asian,36.73%,35.75%,716
,,,,Other Race,34.33%,28.58%,3629
,,,,White,25.25%,19.51%,11988
,,,,American Indian or Alaska Native,35.93%,26.67%,270
,,,,None of the above,18.99%,13.48%,23611
,,,,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",22.46%,17.07%,39197
