,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",17.39%,13.55%,270709
,≥ 55 and < 65 Years,Male,Black or African American,41.83%,36.43%,13418
,,,Native Hawaiian or Other Pacific Islander,42.23%,35.89%,457
,,,Asian,39.76%,35.39%,4329
,,,Other Race,37.68%,31.57%,13448
,,,White,25.35%,19.54%,100379
,,,American Indian or Alaska Native,34.10%,29.11%,1082
,,,None of the above,23.46%,17.62%,10708
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",27.40%,21.63%,130570
,,Female,Black or African American,39.88%,34.22%,16941
,,,Native Hawaiian or Other Pacific Islander,38.80%,31.33%,616
,,,Asian,29.36%,25.08%,5705
,,,Other Race,32.63%,25.72%,17149
,,,White,17.27%,12.36%,122350
,,,American Indian or Alaska Native,32.74%,25.21%,1301
,,,None of the above,16.93%,11.85%,13163
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",20.27%,15.20%,159987
,,"Total: Total includes all data under the ≥ 55 and &lt; 65 Years bucket, including data from rows not currently displayed.",Black or African American,40.74%,35.20%,30359
,,,Native Hawaiian or Other Pacific Islander,40.26%,33.27%,1073
,,,Asian,33.84%,29.53%,10034
,,,Other Race,34.84%,28.29%,30599
,,,White,20.91%,15.59%,222771
,,,American Indian or Alaska Native,33.36%,26.98%,2383
,,,None of the above,19.86%,14.44%,23874
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",23.47%,18.09%,290603
,≥ 65 and < 75 Years,Male,Black or African American,49.06%,41.88%,7270
,,,Native Hawaiian or Other Pacific Islander,46.99%,40.96%,249
,,,Asian,45.98%,38.85%,2932
,,,Other Race,43.39%,35.61%,7728
,,,White,30.64%,22.86%,77654
,,,American Indian or Alaska Native,43.27%,34.73%,550
,,,None of the above,30.32%,21.48%,6340
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",32.57%,24.72%,94989
,,Female,Black or African American,48.19%,41.52%,10093
,,,Native Hawaiian or Other Pacific Islander,46.86%,39.79%,382
,,,Asian,39.39%,33.00%,3945
,,,Other Race,40.13%,31.44%,10268
,,,White,22.61%,16.19%,95443
,,,American Indian or Alaska Native,38.95%,30.09%,688
,,,None of the above,23.70%,16.66%,7955
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",25.67%,19.06%,118377
,,"Total: Total includes all data under the ≥ 65 and &lt; 75 Years bucket, including data from rows not currently displayed.",Black or African American,48.56%,41.67%,17363
,,,Native Hawaiian or Other Pacific Islander,46.91%,40.25%,631
,,,Asian,42.21%,35.50%,6878
,,,Other Race,41.53%,33.23%,17998
,,,White,26.21%,19.18%,173114
,,,American Indian or Alaska Native,40.87%,32.15%,1238
,,,None of the above,26.62%,18.79%,14299
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",28.74%,21.58%,213389
,75 Years or more,Male,Black or African American,46.32%,38.99%,3834
,,,Native Hawaiian or Other Pacific Islander,42.65%,35.29%,136
,,,Asian,42.11%,34.84%,1900
,,,Other Race,39.31%,30.64%,4337
,,,White,29.58%,21.30%,57509
,,,American Indian or Alaska Native,40.86%,29.39%,279
,,,None of the above,29.46%,19.34%,3143
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",30.94%,22.55%,66833
,,Female,Black or African American,47.43%,39.55%,6723
,,,Native Hawaiian or Other Pacific Islander,48.21%,37.44%,195
,,,Asian,38.42%,31.77%,2285
,,,Other Race,36.34%,28.41%,6483
,,,White,21.95%,15.48%,83672
,,,American Indian or Alaska Native,33.25%,27.54%,403
,,,None of the above,23.05%,16.08%,5297
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",24.25%,17.59%,98687
,,"Total: Total includes all data under the 75 Years or more bucket, including data from rows not currently displayed.",Black or African American,47.03%,39.34%,10558
,,,Native Hawaiian or Other Pacific Islander,45.92%,36.56%,331
,,,Asian,40.10%,33.17%,4185
,,,Other Race,37.53%,29.30%,10821
,,,White,25.05%,17.85%,141194
,,,American Indian or Alaska Native,36.36%,28.30%,682
,,,None of the above,25.43%,17.29%,8444
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",26.95%,19.59%,165538
,No value,Male,Black or African American,9.58%,6.63%,18934
,,,Native Hawaiian or Other Pacific Islander,8.29%,5.74%,627
,,,Asian,6.98%,5.11%,6087
,,,Other Race,8.93%,6.49%,16478
,,,White,8.42%,5.37%,94241
,,,American Indian or Alaska Native,9.32%,6.56%,1341
,,,None of the above,4.85%,2.99%,18232
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",7.98%,5.19%,140784
,,Female,Black or African American,10.48%,6.57%,18428
,,,Native Hawaiian or Other Pacific Islander,8.39%,4.87%,596
,,,Asian,5.36%,3.69%,6983
,,,Other Race,8.09%,5.00%,15247
,,,White,7.00%,4.02%,88120
,,,American Indian or Alaska Native,8.11%,5.83%,1098
,,,None of the above,4.74%,2.52%,15467
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",7.12%,4.17%,130693
,,"Total: Total includes all data under the No value bucket, including data from rows not currently displayed.",Black or African American,10.02%,6.60%,37377
,,,Native Hawaiian or Other Pacific Islander,8.34%,5.31%,1223
,,,Asian,6.11%,4.35%,13081
,,,Other Race,8.53%,5.77%,31737
,,,White,7.73%,4.72%,182429
,,,American Indian or Alaska Native,8.81%,6.27%,2441
,,,None of the above,4.80%,2.77%,33713
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",7.56%,4.70%,271581
,"Total: Total includes all data under the Jan 1 – Dec 31 2018 bucket, including data from rows not currently displayed.",Male,Black or African American,16.87%,14.34%,117730
,,,Native Hawaiian or Other Pacific Islander,17.14%,14.36%,4054
,,,Asian,16.35%,13.87%,39914
,,,Other Race,16.07%,13.23%,120881
,,,White,14.97%,11.21%,633809
,,,American Indian or Alaska Native,16.05%,13.04%,9271
,,,None of the above,9.49%,6.85%,101422
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",14.55%,11.14%,916543
,,Female,Black or African American,17.05%,14.13%,148830
,,,Native Hawaiian or Other Pacific Islander,16.28%,13.00%,5307
,,,Asian,12.30%,10.14%,53988
,,,Other Race,14.29%,10.92%,155097
,,,White,11.22%,7.83%,779269
,,,American Indian or Alaska Native,13.80%,10.43%,11856
,,,None of the above,7.76%,5.34%,114398
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",11.72%,8.52%,1118369
,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",Black or African American,16.97%,14.22%,266647
,,,Native Hawaiian or Other Pacific Islander,16.65%,13.59%,9363
,,,Asian,14.02%,11.72%,93944
,,,Other Race,15.07%,11.93%,276078
,,,White,12.90%,9.34%,1413553
,,,American Indian or Alaska Native,14.78%,11.57%,21140
,,,None of the above,8.57%,6.05%,215879
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",12.99%,9.70%,2035572
Jan 1 – Dec 31 2019,Less than 18 Years,Male,Black or African American,1.04%,0.79%,27850
,,,Native Hawaiian or Other Pacific Islander,-,-,724
,,,Asian,0.62%,0.48%,7961
,,,Other Race,1.23%,1.02%,28370
,,,White,0.92%,0.78%,87311
,,,American Indian or Alaska Native,0.96%,0.91%,1877
,,,None of the above,0.38%,0.30%,26695
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",0.82%,0.67%,158784
,,Female,Black or African American,1.28%,1.05%,27422
,,,Native Hawaiian or Other Pacific Islander,-,-,765
,,,Asian,0.83%,0.66%,7600
,,,Other Race,1.31%,1.07%,27904
,,,White,1.04%,0.83%,83830
,,,American Indian or Alaska Native,0.65%,-,1843
,,,None of the above,0.39%,0.29%,25733
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",0.92%,0.74%,152657
,,"Total: Total includes all data under the Less than 18 Years bucket, including data from rows not currently displayed.",Black or African American,1.16%,0.92%,55290
,,,Native Hawaiian or Other Pacific Islander,0.87%,-,1489
,,,Asian,0.72%,0.57%,15569
,,,Other Race,1.27%,1.04%,56297
,,,White,0.98%,0.80%,171235
,,,American Indian or Alaska Native,0.81%,0.70%,3721
,,,None of the above,0.39%,0.29%,52439
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",0.87%,0.70%,311573
,≥ 18 and < 35 Years,Male,Black or African American,4.98%,4.33%,23881
,,,Native Hawaiian or Other Pacific Islander,5.26%,4.49%,913
,,,Asian,3.79%,3.28%,8329
,,,Other Race,5.33%,4.28%,26430
,,,White,3.17%,2.50%,102777
,,,American Indian or Alaska Native,6.26%,5.02%,2013
,,,None of the above,3.12%,2.43%,17909
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",3.51%,2.82%,157467
,,Female,Black or African American,4.77%,3.81%,38088
,,,Native Hawaiian or Other Pacific Islander,4.19%,3.19%,1503
,,,Asian,3.17%,2.46%,14328
,,,Other Race,4.56%,3.32%,43857
,,,White,2.73%,1.83%,151769
,,,American Indian or Alaska Native,4.42%,3.33%,3576
,,,None of the above,2.31%,1.53%,23630
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",3.07%,2.17%,232132
,,"Total: Total includes all data under the ≥ 18 and &lt; 35 Years bucket, including data from rows not currently displayed.",Black or African American,4.85%,4.01%,62016
,,,Native Hawaiian or Other Pacific Islander,4.59%,3.68%,2417
,,,Asian,3.39%,2.76%,22681
,,,Other Race,4.85%,3.68%,70349
,,,White,2.91%,2.10%,254758
,,,American Indian or Alaska Native,5.09%,3.93%,5598
,,,None of the above,2.66%,1.92%,41554
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",3.25%,2.43%,389895
,≥ 35 and < 45 Years,Male,Black or African American,15.40%,13.51%,14230
,,,Native Hawaiian or Other Pacific Islander,19.04%,16.64%,583
,,,Asian,14.49%,12.38%,5623
,,,Other Race,14.69%,12.50%,18245
,,,White,9.43%,7.52%,65483
,,,American Indian or Alaska Native,14.97%,12.06%,1476
,,,None of the above,9.34%,7.14%,11729
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",10.72%,8.72%,100915
,,Female,Black or African American,13.00%,10.75%,20743
,,,Native Hawaiian or Other Pacific Islander,10.21%,8.26%,872
,,,Asian,7.86%,6.07%,9193
,,,Other Race,11.25%,8.42%,26336
,,,White,6.94%,4.73%,88773
,,,American Indian or Alaska Native,10.73%,7.91%,2237
,,,None of the above,6.35%,4.51%,14901
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",8.00%,5.77%,138064
,,"Total: Total includes all data under the ≥ 35 and &lt; 45 Years bucket, including data from rows not currently displayed.",Black or African American,13.97%,11.87%,34987
,,,Native Hawaiian or Other Pacific Islander,13.75%,11.62%,1455
,,,Asian,10.37%,8.46%,14825
,,,Other Race,12.66%,10.09%,44594
,,,White,8.00%,5.92%,154307
,,,American Indian or Alaska Native,12.40%,9.55%,3717
,,,None of the above,7.67%,5.67%,26637
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",9.15%,7.02%,239057
,≥ 45 and < 55 Years,Male,Black or African American,29.56%,26.14%,15210
,,,Native Hawaiian or Other Pacific Islander,26.81%,23.46%,567
,,,Asian,25.10%,21.48%,5848
,,,Other Race,27.23%,23.18%,17250
,,,White,18.19%,14.37%,83699
,,,American Indian or Alaska Native,25.45%,21.56%,1438
,,,None of the above,17.06%,13.17%,12114
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",20.07%,16.25%,119743
,,Female,Black or African American,26.16%,22.09%,19541
,,,Native Hawaiian or Other Pacific Islander,25.30%,19.97%,751
,,,Asian,15.76%,13.34%,8440
,,,Other Race,21.19%,16.44%,22893
,,,White,12.08%,8.56%,109564
,,,American Indian or Alaska Native,21.02%,15.92%,1903
,,,None of the above,11.43%,8.23%,14913
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",14.19%,10.60%,155642
,,"Total: Total includes all data under the ≥ 45 and &lt; 55 Years bucket, including data from rows not currently displayed.",Black or African American,27.64%,23.86%,34757
,,,Native Hawaiian or Other Pacific Islander,25.95%,21.47%,1318
,,,Asian,19.59%,16.67%,14291
,,,Other Race,23.78%,19.33%,40150
,,,White,14.72%,11.08%,193301
,,,American Indian or Alaska Native,22.93%,18.35%,3341
,,,None of the above,13.96%,10.44%,27029
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",16.75%,13.06%,275434
,≥ 55 and < 65 Years,Male,Black or African American,40.89%,35.57%,14388
,,,Native Hawaiian or Other Pacific Islander,39.80%,34.20%,500
,,,Asian,38.37%,33.61%,4761
,,,Other Race,36.56%,30.73%,14786
,,,White,24.68%,19.21%,105085
,,,American Indian or Alaska Native,32.49%,27.59%,1185
,,,None of the above,22.98%,17.19%,11418
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",26.76%,21.25%,137532
,,Female,Black or African American,38.78%,33.29%,17962
,,,Native Hawaiian or Other Pacific Islander,37.67%,30.58%,677
,,,Asian,28.31%,24.23%,6125
,,,Other Race,31.54%,24.95%,18859
,,,White,16.79%,11.98%,127704
,,,American Indian or Alaska Native,30.53%,23.47%,1474
,,,None of the above,16.30%,11.25%,13862
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",19.73%,14.77%,167698
,,"Total: Total includes all data under the ≥ 55 and &lt; 65 Years bucket, including data from rows not currently displayed.",Black or African American,39.72%,34.30%,32352
,,,Native Hawaiian or Other Pacific Islander,38.57%,32.12%,1177
,,,Asian,32.71%,28.33%,10887
,,,Other Race,33.75%,27.49%,33648
,,,White,20.35%,15.24%,232829
,,,American Indian or Alaska Native,31.40%,25.31%,2659
,,,None of the above,19.32%,13.93%,25282
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",22.90%,17.69%,305276
,≥ 65 and < 75 Years,Male,Black or African American,48.64%,41.76%,7963
,,,Native Hawaiian or Other Pacific Islander,46.99%,40.60%,266
,,,Asian,45.23%,38.70%,3217
,,,Other Race,42.32%,34.87%,8706
,,,White,30.00%,22.53%,82441
,,,American Indian or Alaska Native,44.41%,36.30%,617
,,,None of the above,29.01%,20.63%,6942
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",31.94%,24.43%,101445
,,Female,Black or African American,48.05%,41.12%,10974
,,,Native Hawaiian or Other Pacific Islander,46.17%,39.68%,431
,,,Asian,38.56%,32.53%,4261
,,,Other Race,39.81%,31.30%,11353
,,,White,22.16%,15.87%,101030
,,,American Indian or Alaska Native,39.87%,30.07%,755
,,,None of the above,22.79%,16.26%,8610
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",25.21%,18.78%,125843
,,"Total: Total includes all data under the ≥ 65 and &lt; 75 Years bucket, including data from rows not currently displayed.",Black or African American,48.30%,41.39%,18937
,,,Native Hawaiian or Other Pacific Islander,46.48%,40.03%,697
,,,Asian,41.44%,35.19%,7479
,,,Other Race,40.90%,32.85%,20060
,,,White,25.68%,18.87%,183483
,,,American Indian or Alaska Native,41.91%,32.87%,1372
,,,None of the above,25.56%,18.21%,15556
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",28.22%,21.30%,227306
,75 Years or more,Male,Black or African American,46.44%,38.90%,4180
,,,Native Hawaiian or Other Pacific Islander,44.22%,38.78%,147
,,,Asian,42.15%,35.42%,2109
,,,Other Race,40.32%,31.67%,4881
,,,White,30.08%,22.04%,60579
,,,American Indian or Alaska Native,42.16%,29.74%,306
,,,None of the above,30.27%,19.93%,3271
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",31.47%,23.28%,70642
,,Female,Black or African American,47.44%,40.27%,7184
,,,Native Hawaiian or Other Pacific Islander,45.95%,36.04%,222
,,,Asian,38.17%,31.37%,2518
,,,Other Race,37.07%,28.70%,7283
,,,White,22.37%,15.86%,87226
,,,American Indian or Alaska Native,35.42%,29.63%,432
,,,None of the above,23.08%,16.54%,5363
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",24.70%,18.04%,103034
,,"Total: Total includes all data under the 75 Years or more bucket, including data from rows not currently displayed.",Black or African American,47.07%,39.76%,11365
,,,Native Hawaiian or Other Pacific Islander,45.26%,37.13%,369
,,,Asian,39.98%,33.22%,4627
,,,Other Race,38.37%,29.89%,12165
,,,White,25.53%,18.39%,147816
,,,American Indian or Alaska Native,38.21%,29.67%,738
,,,None of the above,25.80%,17.82%,8635
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",27.45%,20.17%,173689
,No value,Male,Black or African American,9.09%,6.89%,22290
,,,Native Hawaiian or Other Pacific Islander,7.02%,5.07%,769
,,,Asian,7.73%,5.61%,7402
,,,Other Race,8.61%,6.10%,21241
,,,White,8.31%,5.23%,115710
,,,American Indian or Alaska Native,9.22%,7.04%,1519
,,,None of the above,5.26%,3.38%,20084
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",7.93%,5.16%,170764
,,Female,Black or African American,9.29%,6.49%,20936
,,,Native Hawaiian or Other Pacific Islander,6.86%,5.95%,656
,,,Asian,5.14%,3.70%,8617
,,,Other Race,7.61%,4.68%,19250
,,,White,6.75%,4.05%,107659
,,,American Indian or Alaska Native,8.51%,5.25%,1257
,,,None of the above,4.80%,2.84%,17474
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",6.78%,4.20%,158083
,,"Total: Total includes all data under the No value bucket, including data from rows not currently displayed.",Black or African American,9.19%,6.70%,43242
,,,Native Hawaiian or Other Pacific Islander,6.94%,5.47%,1426
,,,Asian,6.33%,4.58%,16028
,,,Other Race,8.13%,5.42%,40510
,,,White,7.56%,4.66%,223467
,,,American Indian or Alaska Native,8.89%,6.23%,2779
,,,None of the above,5.05%,3.13%,37576
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",7.37%,4.70%,328990
,"Total: Total includes all data under the Jan 1 – Dec 31 2019 bucket, including data from rows not currently displayed.",Male,Black or African American,16.40%,14.04%,126362
,,,Native Hawaiian or Other Pacific Islander,16.77%,14.28%,4328
,,,Asian,15.97%,13.52%,44038
,,,Other Race,15.37%,12.63%,135957
,,,White,14.50%,10.90%,680007
,,,American Indian or Alaska Native,15.45%,12.60%,10096
,,,None of the above,9.27%,6.74%,107226
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",14.11%,10.84%,985883
,,Female,Black or African American,16.56%,13.81%,157128
,,,Native Hawaiian or Other Pacific Islander,15.70%,12.77%,5645
,,,Asian,11.83%,9.73%,59127
,,,Other Race,13.64%,10.41%,171393
,,,White,10.90%,7.63%,825181
,,,American Indian or Alaska Native,13.24%,10.01%,12901
,,,None of the above,7.54%,5.24%,120493
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",11.36%,8.29%,1188358
,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",Black or African American,16.48%,13.91%,283589
,,,Native Hawaiian or Other Pacific Islander,16.16%,13.42%,9975
,,,Asian,13.59%,11.34%,103217
,,,Other Race,14.40%,11.38%,307475
,,,White,12.53%,9.10%,1505733
,,,American Indian or Alaska Native,14.20%,11.14%,23014
,,,None of the above,8.36%,5.95%,227779
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",12.60%,9.45%,2174998
Jan 1 – Dec 31 2020,Less than 18 Years,Male,Black or African American,1.01%,0.77%,26027
,,,Native Hawaiian or Other Pacific Islander,1.61%,-,685
,,,Asian,0.62%,0.52%,7366
,,,Other Race,1.16%,0.96%,27947
,,,White,0.91%,0.76%,80155
,,,American Indian or Alaska Native,1.03%,0.86%,1851
,,,None of the above,0.39%,0.29%,25450
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",0.81%,0.66%,148196
,,Female,Black or African American,1.27%,1.08%,25518
,,,Native Hawaiian or Other Pacific Islander,-,-,733
,,,Asian,0.77%,0.57%,7032
,,,Other Race,1.21%,1.01%,27221
,,,White,1.00%,0.81%,77041
,,,American Indian or Alaska Native,0.80%,0.63%,1758
,,,None of the above,0.36%,0.26%,25171
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",0.87%,0.71%,143151
,,"Total: Total includes all data under the Less than 18 Years bucket, including data from rows not currently displayed.",Black or African American,1.14%,0.92%,51561
,,,Native Hawaiian or Other Pacific Islander,1.06%,0.85%,1419
,,,Asian,0.69%,0.54%,14404
,,,Other Race,1.18%,0.98%,55194
,,,White,0.96%,0.78%,157274
,,,American Indian or Alaska Native,0.91%,0.78%,3611
,,,None of the above,0.37%,0.28%,50633
,,,"Total: Total includes all data under the Total* bucket, including data from rows not currently displayed.",0.84%,0.69%,291465
,≥ 18 and < 35 Years,Male,Black or African American,4.63%,4.00%,25568
,,,Native Hawaiian or Other Pacific Islander,4.40%,3.33%,1022
,,,Asian,3.46%,2.99%,9156
,,,Other Race,4.91%,3.93%,29122
,,,White,2.99%,2.35%,106525
,,,American Indian or Alaska Native,5.81%,4.47%,2150
,,,None of the above,3.05%,2.37%,18193
,,,"Total: Total includes all data under the Male bucket, including data from rows not currently displayed.",3.31%,2.65%,164337
,,Female,Black or African American,4.34%,3.41%,39775
,,,Native Hawaiian or Other Pacific Islander,3.70%,2.89%,1593
,,,Asian,2.80%,2.21%,15327
,,,Other Race,4.21%,3.08%,46397
,,,White,2.54%,1.68%,156916
,,,American Indian or Alaska Native,4.23%,3.00%,3664
,,,None of the above,2.19%,1.41%,23850
,,,"Total: Total includes all data under the Female bucket, including data from rows not currently displayed.",2.84%,1.99%,240207
,,"Total: Total includes all data under the ≥ 18 and &lt; 35 Years bucket, including data from rows not currently displayed.",Black or African American,4.46%,3.64%,65392
